spanish_word,english_translation
comer,eat
suerte,luck
tranquilo,don't worry
manos,hands
señora,lady
cierto,TRUE
sola,alone
llevar,carry
paso,passed
dentro,inside
pensé,I thought
rápido,fast
vemos,we see
entrar,get in
podría,could
crees,do you believe
trabajar,work
última,last
minutos,minutes
semana,week
hija,daughter
vengo,come
sale,comes out
atrás,back
seis,six
pasando,going
hijos,children
habla,speaks
mientras,while
punto,spot
fuerte,strong
segundo,second
dale,Go ahead
ayudar,help
ninguna,none
misma,same
dormir,sleep
historia,history
diga,say
llegó,arrive
tenido,had
esperando,expecting
dame,give to me
tenga,have
encontrar,find
gusto,taste
haya,is
buscando,searching
peor,worse
meses,months
hermano,brother
problemas,issues
quien,who
corazón,heart
anda,go
ayuda,aid
lleva,carry
primer,first
contra,against
conozco,know
diciendo,saying
dices,you say
encima,on
di,gave
das,you give
tranquila,peaceful
mía,mine
nueva,new
cambiar,change
listo,ready
feliz,happy
tuve,I had
perfecto,perfect
ojos,eyes
cambio,change
loco,crazy
saben,they know
sacar,take out
contar,count
dado,given
último,last
preocupes,worry
pregunta,ask
otras,others
pronto,soon
país,country
creer,believe
dijiste,said
hacerlo,do it
ayer,yesterday
cerca,near
abajo,below
culpa,blame
sabemos,we know
personas,people
llamar,call
muerto,dead
ganas,desire
forma,shape
estábamos,we were
pedir,ask
rato,a while
llamo,called
otros,others
bajo,low
ocho,eight
hagas,you do
perder,lose
empezar,begin
doy,give
hacía,toward
vuelta,lap
justo,fair
bastante,quite
digas,you say
noches,nights
camino,path
llega,arrives
siquiera,even
siendo,being
nuestros,our
esté,this
teléfono,phone
pase,happens
esperar,wait
pensando,thinking
paz,peace
dejó,let
cuerpo,body
realidad,reality
número,number
sentido,sense
niño,child
quedó,remained
espero,wait
mierda,shit
cree,believe
mujeres,women
estabas,you were
mil,thousand
fueron,were
pone,places
demás,the rest
ejemplo,example
decía,He said
